user,tweet_id,text
SalVulcano,1565515104065654784,ATTENSH! I defy you to watch this and not think it's great. Get on the @sammorril train if you haven't already!!! New special out now on Netflix https://t.co/rbBppj3Hc0
SalVulcano,1565363495885049858,"Thursdays are for the BABES! 

All new @heybabepod out NOW!

WOOP. WOOP. That's the sound of Da police. 

Full ep: https://t.co/uJkbQMJ5SA

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

Tag a friend! https://t.co/afd5l9KucX"
SalVulcano,1562838886488805377,"Thursdays are for the BABES! 

All new @heybabepod out NOW! 

The great @ianimal69 part 2! 

Full ep: https://t.co/sO17zRFMdy

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

Tag a friend 🙏 https://t.co/sCcZNtP5Gv"
SalVulcano,1561816343875297282,"Mondays are for the Buds!!

All new @tastebudspod out NOW!

MCDONALD'S VS PIZZA HUT

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

Tag a friend!

FULL EP: https://t.co/QJvTMLBObJ https://t.co/Wlk3AdruAM"
SalVulcano,1561745612671942656,"Taste Buddies!

What's better?"
SalVulcano,1561745303715422209,"Taste Buddies!

What's better?"
SalVulcano,1561508977954914304,Just posted a photo https://t.co/MPPts1UHJv
SalVulcano,1560462899637878785,I wanna live at the Arconia so badly.
SalVulcano,1559198148353990659,"Mondays... ARE FOR THE CRYING BUDDIES!

All new @tastebudspod out NOW!

Full ep: https://t.co/2BvJDeloAB

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify!

Tag a friend you cry with. 🙏 https://t.co/ttPpIzPvyV"
SalVulcano,1557755453567811585,"New @heybabepod out NOW!

FULL EP: https://t.co/jN6Xkfjjg7

Tag a friend! https://t.co/5uu9bug8bL"
SalVulcano,1555727662613659649,Posted @withregram • @tastebudspod Happy birthday @joederosacomedy 🎉🎂🥳📸 @thehomelesspimp https://t.co/e6AZxJGPIB
SalVulcano,1555727031542976524,"Posted @withregram • @queenelizabeththeatre Still want to see @SalVulcano in Toronto? We've added a second, late night show on October 15th for you! 🙌  Tickets are on sale now in our bio. https://t.co/qg7O47Hgy0"
SalVulcano,1555715520715972608,🔥🔥🔥 Episodes comin' in HOT!! https://t.co/lcLIUJKpUt
SalVulcano,1555599238607900674,"Taste Buddies!

CHOOSE ONE:"
SalVulcano,1555597036992577536,"Taste Buddies! Let's go!!!

Choose one:"
SalVulcano,1555326827245309955,"ANYONE ELSE FEEL THIS WAY ABOUT THE STEPS?

New @tastebudspod out NOW!

Full episode: https://t.co/ZGIpFd30Sy

Support the pod. Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify. Tag a friend! https://t.co/Zxxh3PgD6x"
SalVulcano,1555237791864430592,"Fall Tour on sale NOW. 

2nd shows added in Toronto, Hershey PA and Atlanta! Presale going on NOW! (PROMO CODE: GODBLESS)

Tix: https://t.co/oRXXrByeg4 

Tag a friend! 🙏 https://t.co/XuU2HsD9k8"
SalVulcano,1555237253437431808,"We had to be the worst bachelor and try NOT to get chosen. It was not easy. Tonight, 10pm eastern, @truTV. https://t.co/0zVkV113Yj"
SalVulcano,1555231412768342017,Tonight!! https://t.co/m28tjhOKJc
SalVulcano,1555229511796592640,MICHAEL JACKSON DIED?!?!?!
SalVulcano,1555227820934266881,"Thursdays are for the BABES! 

All new ep out NOW. 

W/ Special guest @WhitneyCummings

Full Ep: https://t.co/844DMzI2QZ

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify!

@heybabepod https://t.co/MA6iBar97c"
SalVulcano,1554843159661879296,🔥👇😮🤯🥰 https://t.co/ViUHYvBgZM
SalVulcano,1554624495310225408,"Have a quick cameo in tonight's @theshadowsfx. 

Such a trip to be on one of my favorite shows. 

Tonight at 10pm eastern on @fxnetworks. https://t.co/B30nXsSdTq"
SalVulcano,1554136977129316353,"Mondays are for the Buds! All new @tastebudspod out NOW!

Watermelon vs Raisins

FULL EP: https://t.co/ZGIpFd30Sy

Share your disgust after watching this #SNEEZEGATE clip

Support the pod! Subscribe NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify!

Tag a friend! https://t.co/bhEGVd9rl5"
SalVulcano,1552695221242265600,"Thursdays are for the BABES!

SUBWAY IS GONNA SOLVE WORLD HUNGER BABES. 

BRAND NEW @heybabepod out now!

Full ep: https://t.co/vZWP40AVZI

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on iTunes! Follow on Spotify. 

Tag a friend! https://t.co/uYxZ2xWVER"
SalVulcano,1552039510921322497,Guys!!! Don’t miss Impractical Jokers Shark Week Spectacular on @SharkWeek TONIGHT at 8p ET on @discovery and @discoveryplus. #SharkWeek https://t.co/dsub3irrR0
SalVulcano,1551592666349113344,"NEW @tastebudspod out NOW!

SNAPPLE v ARIZONA

Joined again by the great @KevinRyanComedy &amp; @HFoleyComedy of the @AreYouGarbage pod!

Full ep: https://t.co/UZc4aDQxId

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

RETWEET! https://t.co/vdcfQ51kCo"
